"title_name","title_price","title_sub_title","title_mileage","title_year","title_engine_l","title_engine_type","title_localization_1","title_localization_2","title_negotiable"
"Škoda Fabia","17 200","Klimatronik, Tempomat, komputer, LED,podgrzewane fotele, wielofunkcja","46 562 km","2014","1 197 cm3","Benzyna","Kłobuck","(Śląskie)",""
"Škoda Octavia","8 500","1.9 TDI Hatchback 2008r Bardzo zadbane auto Salon PL","334 500 km","2008","1 900 cm3","Diesel","Bielsko-Biała","(Śląskie)",""
"Opel Astra","14 499","ładny stan bezwypadek bogate wyposażenie","197 000 km","2009","1 600 cm3","Benzyna","Mosina","(Wielkopolskie)","Do negocjacji"
"Volvo XC 60 2.4D","34 800","2.4 D 175KM, serwisowany, bezwypadkowy, 2 kpl. kół alu","267 000 km","2009","2 400 cm3","Diesel","Poznań","(Wielkopolskie)",""
"Ford Mondeo 2.0","6 400","Sprzedam","217 000 km","2004","1 998 cm3","Diesel","Strzelce Opolskie","(Opolskie)",""
"Mazda 6 2.5","49 900","Zadbany Niski Przebieg Full Opcja","93 800 km","2014","2 488 cm3","Benzyna","Ełk","(Warmińsko-mazurskie)","Do negocjacji"
"Suzuki Vitara","81 200","Premium, 2019r. Bogato wyposażona wersja premium! Zakup zdalny.","1 943 km","2019","1 373 cm3","Benzyna","Kraków","(Małopolskie)","Faktura VAT"
"Kia Ceed 1.6","24 800","1.6 Benzyna 125 KM, Lift, Klima, Mały przebieg, GWARANCJA!","98 724 km","2010","1 591 cm3","Benzyna","Nowy Sącz","(Małopolskie)","Do negocjacji"
"Mercedes-Benz Vito","24 900","2.2 Diesel 150 KM 6 Osób Klimatyzacja Nawigacja 6 Bieg Alu Felgi","289 133 km","2008","2 148 cm3","Diesel","Białystok","(Podlaskie)","Do negocjacji"
"Renault Laguna","5 000","","295 000 km","2005","Diesel","","Czekanowo","(Wielkopolskie)","Do negocjacji"
"Toyota Auris","48 500","Toyota Auris","199 000 km","2015","1 798 cm3","Hybryda","Pionki","(Mazowieckie)",""
"Dodge Challenger","45 999","Dostępna również wersja z innym silnikiem i kolorem!","56 323 km","2015","3 600 cm3","Benzyna","Łomazy","(Lubelskie)","Do negocjacji"
"Nissan Primera","1 999","Tania Sprawna z Opłatami.benzynka","221 100 km","1998","1 600 cm3","Benzyna","Warszawa","(Mazowieckie)","Do negocjacji"
"Ford Focus Mk2","6 100","MK II 1.6 TDCI 90KM 3D","169 230 km","2006","Diesel","","Piła","(Wielkopolskie)","Do negocjacji"
"Suzuki Grand Vitara 1.6","13 900","1.6*el.szyby *zadbana*","198 000 km","2003","1 590 cm3","Benzyna","Orneta","(Warmińsko-mazurskie)","Do negocjacji"
"Seat Leon","53 900","110KM, czujniki parkowania, podgrzewane fotele, salonPL/ASO/FV23%","37 371 km","2018","1 197 cm3","Benzyna","Warszawa","(Mazowieckie)","Faktura VAT"
"Volvo S40 2.0D","31 500","175ps / 395Nm","110 000 km","2008","1 998 cm3","Diesel","Sieradz","(Łódzkie)",""
"Renault Trafic SpaceClass","69 987","","68 272 km","2017","1 598 cm3","Diesel","Warszawa","(Mazowieckie)","Możliwość odliczenia VAT, Do negocjacji"
"Mazda 6 2.0","39 500","Salon Polska ASO SkyPassion Lift","105 000 km","2015","1 998 cm3","Benzyna","Warszawa","(Mazowieckie)","Do negocjacji, Faktura VAT"
"Citroën DS3 1.6","23 900","Benzyna Turbo. Piękna sztuka. Mocna i szybka. Bordowy dach","113 000 km","2012","1 598 cm3","Benzyna","Zawiercie","(Śląskie)","Do negocjacji"
"Chevrolet Cruze","26 450","Chevrolet Cruze kombi 1.7","135 700 km","2013","1 686 cm3","Diesel","Czekanka","(Śląskie)","Do negocjacji"
"Nissan X-Trail 1.7","119 900","1.7 dCi 150 KM 340 Nm 4X4 automat N CONNECTA + PAKIET PREMIUM 2019","110 km","2019","1 749 cm3","Diesel","Bielany Wrocławskie","(Dolnośląskie)",""
"BMW Seria 5 530i","27 999","BMW E60 530i M54 Manual 6 biegów skóra","251 000 km","2003","2 979 cm3","Benzyna","Kostrzyn nad Odrą","(Lubuskie)","Do negocjacji"
"Renault Kadjar 1.2","59 900","Adventure Energy 1.2 TCe 130KM, Z naszego salonu, I wł, OKAZJA!!!","75 500 km","2018","1 197 cm3","Benzyna","Opole","(Opolskie)","Faktura VAT"
"BMW X1 xDrive18d","39 900","/18d, 143KM / xDrive / Lift / Aut. / Gwarancja producenta /","43 573 km","2015","1 995 cm3","Diesel","Mielec","(Podkarpackie)",""
"Volvo S60","64 500","1,5 T3 150KM benzyna Kinetic, Automat","105 000 km","2015","1 498 cm3","Benzyna","Gdynia","(Pomorskie)","Do negocjacji, Faktura VAT"
"Honda CR-V 1.6i-DTEC","96 000","Honda CRV 4x4 automat","40 000 km","2016","1 597 cm3","Diesel","Rzeszów","(Podkarpackie)","Do negocjacji"
"Nissan Primastar","18 700","Nissan Primastar","135 000 km","2008","2 000 cm3","Diesel","Warszawa","(Mazowieckie)","Do negocjacji, Faktura VAT"
"Citroën Jumpy Combi","17 500","","215 000 km","2008","1 900 cm3","Diesel","Warszawa","(Mazowieckie)",""
"BMW Seria 1","18 900","1.6 116 KM fajne wyposażenie, potwierdzony przebieg","199 979 km","2007","1 596 cm3","Benzyna","Częstochowa","(Śląskie)","Do negocjacji"
"Fiat Bravo 1.9","15 900","FIAT BRAVO II 1.9 JTD Multijet 120 KM Blue&Me","203 000 km","2009","1 910 cm3","Diesel","Warszawa","(Mazowieckie)","Do negocjacji"
"Renault Megane II","4 600","Samochód sprawny info. pod nr tel.","273 000 km","2006","Benzyna+LPG","","Rybnik","(Śląskie)","Do negocjacji"
"Volkswagen Golf Plus","18 900","VW Golf Plus 1,9TDI TOUR 141tyś.km bezwypadkowy,zadbany","141 000 km","2007","1 896 cm3","Diesel","Kłodzko","(Dolnośląskie)","Do negocjacji"
"BMW Seria 5","44 900","530d M Skóry Navi Kamera 231KM","91 600 km","2006","2 993 cm3","Diesel","Łomianki","(Mazowieckie)",""
"Peugeot 207 CC 1.6","9 900","1.6 HDI 110KM klimatronic 2xkoła alu Śliczny!!!","190 000 km","2007","1 560 cm3","Diesel","Bieruń","(Śląskie)",""
"Renault Megane 1.5","19 900","Nawigacja, Klimatronik, Parktronik","140 000 km","2012","1 461 cm3","Diesel","Brodowo","(Wielkopolskie)","Do negocjacji"
"Škoda Fabia II","13 900","","190 000 km","2008","1 598 cm3","Benzyna","Dąbrowa Górnicza","(Śląskie)",""
"Mini Cooper S Standard","29 990","1.6Kompresor 170KM*Cabrio *Skóra*Klima*Szwajcaria","103 766 km","2008","1 598 cm3","Benzyna","Nowy Sącz","(Małopolskie)","Do negocjacji, Faktura VAT"
"BMW Seria 3 320","8 900","Sprzedam BMW rocznik 2002 silnik 2,2 170KM","256 000 km","2002","2 171 cm3","Benzyna","Pruszków","(Mazowieckie)","Do negocjacji"
"Audi Q7 3.0","42 900","3.0 Tdi Lift stan bdb po kolizji okazja","180 000 km","2013","2 967 cm3","Diesel","Kostrzyn nad Odrą","(Lubuskie)",""
"Audi A5 3.0","52 000","Audi a5 quattro","234 177 km","2008","2 967 cm3","Diesel","Augustów","(Podlaskie)","Do negocjacji"
"Škoda Octavia","97 900","2.0TDI 150KM DSG Style Dealer Skoda","16 991 km","2018","2 000 cm3","Diesel","Opole","(Opolskie)","Faktura VAT"
"Ford EcoSport","31 900","ecosport 1.0 ecoboost navi handfree 28 tys km","28 000 km","2017","998 cm3","Benzyna","Topola Mała","(Wielkopolskie)",""
"Audi A3","14 900","1.6 MPI + LPG Stag na gwarancji, Szyberdach, Od osoby prywatnej!","254 000 km","2005","1 595 cm3","Benzyna+LPG","Tarnowskie Góry","(Śląskie)","Do negocjacji"
"Honda CR-V 2.0","45 000","Sprzedam autko pierwszy właściciel","254 623 km","2010","1 997 cm3","Benzyna","Słupsk","(Pomorskie)","Do negocjacji"
"Volvo XC 60","115 000","Summum AWD D4 190 KM 1 wł serwis ASO bezwypadkowy VAT23 2 lata gwar.","146 000 km","2016","2 400 cm3","Diesel","Lublin","(Lubelskie)","Faktura VAT"
"Jaguar XF","44 999","XF S 275 Km Full opcja oryginał udokumentowany przebieg","149 000 km","2009","2 993 cm3","Diesel","Zwoleń","(Mazowieckie)","Do negocjacji"
"Škoda Octavia","57 000","1.4 Cng Active G Tec 2017 rok","161 682 km","2017","1 395 cm3","Benzyna+CNG","Głubczyce","(Opolskie)",""
"Škoda Superb I","12 900","","200 000 km","2005","Benzyna","","Dąbrowa Górnicza","(Śląskie)","Do negocjacji"
"Audi A5 1.8","57 700","1.8 TFSI 170KM, 1 wł, SALON PL, serwis ASO, UNIKAT FV23%!","144 553 km","2013","1 798 cm3","Benzyna","Lesznowola","(Mazowieckie)","Do negocjacji, Faktura VAT"
"Opel Insignia","33 900","Opel Insignia 1,6T 180 KM Polski Salon Stan idealny białe wnętrze","222 682 km","2013","1 598 cm3","Benzyna","Swarzędz","(Wielkopolskie)",""
"Seat Ibiza","7 200","","73 800 km","2016","Diesel","","Żary","(Lubuskie)","Do negocjacji"
"Lexus CT","80 900","Lexus CT200H, FV23%, Elegance + Black, I właściciel, bezwypadkowy","74 100 km","2016","1 798 cm3","Hybryda","Wrocław","(Dolnośląskie)","Faktura VAT"
"Ford Mustang","25 999","Manualna skrzynia biegów","82 713 km","2014","5 000 cm3","Benzyna","Łomazy","(Lubelskie)","Do negocjacji"
"Opel Insignia 2.0","71 955","Sports Tourer 2.0 cdti Innovation S&S61 SALON PL SERWIS 41TYS km !!!","41 100 km","2017","1 956 cm3","Diesel","Łabiszyn","(Kujawsko-pomorskie)","Możliwość odliczenia VAT, Do negocjacji, Faktura VAT"
"BMW Seria 5","79 950","BMW 525d xDrive, Steptronic, Komfort, Salon Polska, Softclose,FVAT","217 000 km","2013","1 995 cm3","Diesel","Szczecin","(Zachodniopomorskie)","Możliwość odliczenia VAT, Faktura VAT"
"Opel Antara","54 900","Opel Antara Cosmo 4x4 Automat","66 263 km","2015","2 200 cm3","Diesel","Warszawa","(Mazowieckie)",""
"Škoda Scala 1.0","69 500","Ambition 1.0 TSI 115 KM ""Od ręki""","119 km","2019","999 cm3","Benzyna","Nowy Sącz","(Małopolskie)","Faktura VAT"
"Volkswagen Passat","7 499","","315 000 km","2002","1 781 cm3","Benzyna+LPG","Szczecin","(Zachodniopomorskie)","Do negocjacji"
"Seat Altea 1.6","18 700","seat altea 1,6 TDI 105km zadbany bezwypadkowy polecam","231 486 km","2011","1 598 cm3","Diesel","Wołomin","(Mazowieckie)","Do negocjacji"
"Audi Q8 50","530 130","Cesja Perfect Lease, Gwarancja, Salon Polska, Idealny","10 390 km","2019","2 967 cm3","Diesel","Rzeszów","(Podkarpackie)","Możliwość odliczenia VAT, Faktura VAT"
"Kia Sportage","21 900","4X4 2.0ben 142km ALU Climatronic Pół skóra ASO do końca ORYGINAŁ 1Ręka","172 224 km","2008","1 975 cm3","Benzyna","Dynów","(Podkarpackie)","Do negocjacji"
"Opel Antara","54 900","Opel Antara Cosmo 4x4 Automat","66 263 km","2015","2 200 cm3","Diesel","Warszawa","(Mazowieckie)",""
"Škoda Scala 1.0","69 500","Ambition 1.0 TSI 115 KM ""Od ręki""","119 km","2019","999 cm3","Benzyna","Nowy Sącz","(Małopolskie)","Faktura VAT"
"Volkswagen Passat","7 499","","315 000 km","2002","1 781 cm3","Benzyna+LPG","Szczecin","(Zachodniopomorskie)","Do negocjacji"
"Seat Altea 1.6","18 700","seat altea 1,6 TDI 105km zadbany bezwypadkowy polecam","231 486 km","2011","1 598 cm3","Diesel","Wołomin","(Mazowieckie)","Do negocjacji"
"Audi Q8 50","530 130","Cesja Perfect Lease, Gwarancja, Salon Polska, Idealny","10 390 km","2019","2 967 cm3","Diesel","Rzeszów","(Podkarpackie)","Możliwość odliczenia VAT, Faktura VAT"
"Kia Sportage","21 900","4X4 2.0ben 142km ALU Climatronic Pół skóra ASO do końca ORYGINAŁ 1Ręka","172 224 km","2008","1 975 cm3","Benzyna","Dynów","(Podkarpackie)","Do negocjacji"
"Toyota Yaris","12 500","Toyota Yaris klima alufelgi","235 000 km","2013","998 cm3","Benzyna","Łabiszyn","(Kujawsko-pomorskie)","Do negocjacji"
"Lexus RX","78 000","Bezwypadkowy Hybryda Automat Skóra Kamera Navi","194 774 km","2011","3 456 cm3","Hybryda","Warszawa","(Mazowieckie)",""
"Seat Ibiza 1.6","19 900","Opłacona PERFEKCYJNY STAN 256 rejestracja","186 000 km","2013","1 598 cm3","Diesel","Miasteczko Śląskie","(Śląskie)","Do negocjacji"
"Hyundai ix35 1.6","48 700","Hyundai ix35 Salon Polska","101 000 km","2014","1 591 cm3","Benzyna","Warszawa","(Mazowieckie)","Do negocjacji"
"Opel Astra III","19 400","Salon Polska I Wła... 1,6 Ben 115 KM 75 Tyś KM","75 601 km","2011","1 598 cm3","Benzyna","Rożek","(Mazowieckie)","Do negocjacji"
"Volkswagen Caddy","12 900","od pierwszego właściciela, absolutnie bezwypadkowy","465 000 km","2007","1 900 cm3","Diesel","Ostróda","(Warmińsko-mazurskie)","Do negocjacji"
"Mercedes-Benz ML","24 900","# perfekcyjny w każdym calu #","242 076 km","2004","2 685 cm3","Diesel","Nowa Wieś Ełcka","(Warmińsko-mazurskie)","Do negocjacji"
"Škoda Felicia","1 400","!!!Targówek!!! 1.6 Benzyna, 2000 rok produkcji! KOMIS TYSIAK","133 000 km","2000","1 600 cm3","Benzyna","Warszawa","(Mazowieckie)",""
"Renault Laguna","15 000","Laguna III 2.0 DCI","270 900 km","2008","1 995 cm3","Diesel","Warszawa","(Mazowieckie)","Do negocjacji"
"Renault Megane 1.6","20 897","Renault Megane III 1.6 DCI 130KM FV23% stan bdb","174 000 km","2014","1 598 cm3","Diesel","Lublin","(Lubelskie)","Możliwość odliczenia VAT, Do negocjacji, Faktura VAT"
"Opel Vectra GTS","8 900","GTS 1.8 Gaz Czarna","224 150 km","2002","1 796 cm3","Benzyna+LPG","Brodnica","(Kujawsko-pomorskie)","Do negocjacji"
"Kia Ceed","42 900","Kia Ceed 1.4 100 km Serwis Kamera","41 000 km","2015","1 400 cm3","Benzyna","Gniezno","(Wielkopolskie)",""
"Jaguar XE 2.0","136 900","Jaguar Approved","28 832 km","2018","1 999 cm3","Diesel","Katowice","(Śląskie)","Faktura VAT"
"Volkswagen Polo","12 900","Vw Polo 1.2 Klima United","170 000 km","2008","1 200 cm3","Benzyna","Gniezno","(Wielkopolskie)",""
"Škoda Octavia","28 900","Na GWARANCJI, 1.2 TSI kombi","150 000 km","2013","1 197 cm3","Benzyna","Przeźmierowo","(Wielkopolskie)",""
"Volkswagen Caddy","38 900","Vw Caddy Long Navi Salon Polska Serwis","243 000 km","2010","1 600 cm3","Diesel","Gniezno","(Wielkopolskie)","Do negocjacji"
"Volkswagen Golf IV","8 300","Golf IV , Special , Sprowadzony z Niemiec , Zadbany","80 870 km","2002","1 390 cm3","Benzyna","Czersk","(Pomorskie)","Do negocjacji"
"Renault Clio 1.2","31 700","LEDY / Nawigacja / Klima / Tempomat / Salon POLSKA Iwł / Faktura VAT","91 054 km","2016","1 149 cm3","Benzyna","Daleszyce","(Świętokrzyskie)","Do negocjacji, Faktura VAT"
"Audi A4 2.0","35 800","B8 2.0 TDI 170 km kolorowa navi MMI oryginalny lakier * PIĘKNY *","279 573 km","2011","1 968 cm3","Diesel","Końskie","(Świętokrzyskie)","Do negocjacji"
"Škoda Fabia 1.4","7 900","1,4 16V Automat Gwarantowane 149600 km !!!","149 600 km","2002","1 390 cm3","Benzyna","Zgierz","(Łódzkie)",""
"Kia Sportage","23 900","Auto z Gwarancja Navi Skóry Lift Zapraszam","189 000 km","2010","2 000 cm3","Diesel","Gniezno","(Wielkopolskie)",""
"Seat Ibiza","13 900","Seat Ibiza zarejestrowany super ekonomiczny Idealny","119 000 km","2011","1 198 cm3","Diesel","Grudziądz","(Kujawsko-pomorskie)","Do negocjacji"
"Fiat Grande Punto","15 500","EVO * Klimatyzacja * El. Szyby * Zadbany * Pierwszy Włascicel w PL *","99 260 km","2010","1 368 cm3","Benzyna","Radom","(Mazowieckie)","Do negocjacji"
"Volkswagen Polo 1.9","6 900","VW Polo GTi 1.9tdi 130ps","345 000 km","2005","1 896 cm3","Diesel","Dębno","(Zachodniopomorskie)",""
"Peugeot 207 1.6","5 000","","240 450 km","2008","1 598 cm3","Benzyna+LPG","Charytany","(Podkarpackie)","Do negocjacji"
"Audi A3","24 900","8P 2.0 TDi 6 Biegów Bose Komforty Kier S Line Podsufitka","194 000 km","2010","2 000 cm3","Diesel","Radom","(Mazowieckie)","Do negocjacji"
"Peugeot 207 1.6","5 000","","240 450 km","2008","1 598 cm3","Benzyna+LPG","Charytany","(Podkarpackie)","Do negocjacji"
"Audi A3","24 900","8P 2.0 TDi 6 Biegów Bose Komforty Kier S Line Podsufitka","194 000 km","2010","2 000 cm3","Diesel","Radom","(Mazowieckie)","Do negocjacji"
"Renault Megane","64 900","1.3 115KM Limited, Niski Przebieg","11 826 km","2019","1 332 cm3","Benzyna","Wieliczka","(Małopolskie)","Faktura VAT"
"Fiat Punto","14 300","1.2 60KM benz/klima/krajowy/jeden właściciel/bezwypadkowy/od dealera","84 000 km","2010","1 242 cm3","Benzyna","Gliwice","(Śląskie)","Do negocjacji, Faktura VAT"
"Škoda Octavia","13 900","1.6 MPI 102KM * bezwypadkowy* ALUFELGI* GWARANCJA *","220 000 km","2005","1 595 cm3","Benzyna","Dąbrowa Górnicza","(Śląskie)","Do negocjacji"
"Land Rover Range Rover Sport S","38 500","Range Rover Sport HSE","211 500 km","2006","2 720 cm3","Diesel","Giżycko","(Warmińsko-mazurskie)","Do negocjacji"
"Fiat Panda","8 700","Fiat Panda biały","90 000 km","2008","1 108 cm3","Benzyna","Łódź","(Łódzkie)",""
"Mercedes-Benz Klasa C 220","1 590","2,2 Elegance","225 000 km","1999","2 151 cm3","Diesel","Poznań","(Wielkopolskie)",""
"Toyota Auris","42 900","1.3 Active","54 000 km","2017","1 329 cm3","Benzyna","Warszawa","(Mazowieckie)","Faktura VAT"
"Audi 80","14 999","1.9 TDI Sprowadzony Skory ZOBACZ","200 000 km","1999","1 900 cm3","Diesel","Starogard Gdański","(Pomorskie)",""
"Alfa Romeo 159 1.9JTDM","8 900","2006 1.9 JTDM 150 KM","295 900 km","2006","1 910 cm3","Diesel","Dobroszyce","(Dolnośląskie)","Do negocjacji"
"Škoda Fabia","8 800","1.4 Benzyna 86Km Klima Elektryka Kombi Czerwony Dobry Stan Zadbany !","269 385 km","2010","1 400 cm3","Benzyna","Sława","(Lubuskie)",""
"Lancia Thema 3.0CRD","45 800","Executive 3.0 CRD V6, Polski salon, II gi właściciel, dwa komplety kół","153 293 km","2011","2 987 cm3","Diesel","Gdańsk","(Pomorskie)",""
"Ford Focus","27 900","1.6TDCI 115KM SalonPL FV23% Gwarancja","139 000 km","2013","1 600 cm3","Diesel","Sokołów","(Mazowieckie)","Faktura VAT"
"Citroën Berlingo 1.6","24 900","","212 000 km","2015","1 560 cm3","Diesel","Kraków","(Małopolskie)","Faktura VAT"
"Audi A8","68 999","L quattro 4x4","145 326 km","2012","4 163 cm3","Benzyna","Łomazy","(Lubelskie)","Do negocjacji"
"Nissan Qashqai I","31 900","2010r * 2.0 150KM * LIFT * Bogate wyposażenie * 4x4 * Zarejestrowany","185 000 km","2010","2 000 cm3","Diesel","Pisz","(Warmińsko-mazurskie)","Do negocjacji, Faktura VAT"
"Audi A5 40","214 900","Sportback 40 TFSI S tronic 190 KM, Salon PL, Serwis ASO, FV 23%","6 615 km","2019","1 984 cm3","Benzyna","Wolica","(Mazowieckie)","Faktura VAT"
"Porsche Panamera 4","350 000","Salon Polska 2019 BEZWYPADKOWA Sprzedam PILNIE","31 241 km","2018","2 894 cm3","Hybryda","Kielce","(Świętokrzyskie)","Do negocjacji, Faktura VAT"
"Opel Insignia 2.0","39 999","Zadbany Opc line Full Opcja","180 700 km","2012","1 998 cm3","Benzyna","Słupsk","(Pomorskie)",""
"Renault Thalia","3 500","Renault Thalia 1.4 2003","205 000 km","2003","1 390 cm3","Benzyna","Wodzisław Śląski","(Śląskie)","Do negocjacji"
"Suzuki Grand Vitara 2.4","41 500","Suzuki JT Grand Vitara 2,4","157 000 km","2014","2 393 cm3","Benzyna","Szczecin","(Zachodniopomorskie)","Do negocjacji"
"Fiat Scudo","32 900","KRAJOWY, f ra Vat, pełny serwis","236 000 km","2014","1 997 cm3","Diesel","Kraków","(Małopolskie)","Faktura VAT"
"BMW X5 xDrive25d","164 900","Cesja leasingu X5 25d/ Stare zasady odliczenia/ Rata 2856,96 netto","53 000 km","2017","1 995 cm3","Diesel","Krasne","(Podkarpackie)","Faktura VAT"
"Volkswagen Passat 2.0","14 500","VW Passat Highline z polskiego salonu oryginalny przebieg","361 857 km","2006","1 968 cm3","Diesel","Luboń","(Wielkopolskie)","Do negocjacji"
"Opel Corsa","9 000","Wersja 111. 2 KUCZYKI","140 000 km","2010","1 248 cm3","Diesel","Krotoszyn","(Wielkopolskie)","Do negocjacji"
"Citroën C3 Picasso","16 900","2.0 diesel, bogata wersja, bardzo zadbany, zarejestrowany.","161 500 km","2006","1 997 cm3","Diesel","Zieleniewo","(Zachodniopomorskie)","Do negocjacji"
"Nissan Juke 1.6","39 500","Nissan Juke 2013 1.6 automat","75 110 km","2013","1 598 cm3","Benzyna","Kąkolewo","(Wielkopolskie)","Do negocjacji"
"Citroën C2","5 900","Citroen C2 1.4 HDI, nowe sprzęgło","203 000 km","2009","1 398 cm3","Diesel","Jelenia Góra","(Dolnośląskie)","Do negocjacji"
"Ford Fiesta","4 900","Stan bardzo dobry, niski przebieg","56 000 km","2002","1 242 cm3","Benzyna","Namysłów","(Opolskie)","Do negocjacji"
"Kia Ceed 1.6","39 999","Navi, Kamera, Led Ideał Prosot z Niemiec","68 000 km","2015","1 591 cm3","Benzyna","Swarzędz","(Wielkopolskie)","Do negocjacji"
"Volvo XC 60 D4","120 540","VOLVO xc60 d4","95 000 km","2016","1 969 cm3","Diesel","Kraków","(Małopolskie)","Możliwość odliczenia VAT, Do negocjacji, Faktura VAT"
"Škoda Octavia","41 499","DW5L161 # 1.2 TSI # 110KM #","68 619 km","2016","1 200 cm3","Benzyna","Wrocław","(Dolnośląskie)","Faktura VAT"
"Opel Vectra 1.8","10 500","Vectra C 1.8 2005 Sedan","260 692 km","2005","1 796 cm3","Benzyna","Strońsko","(Łódzkie)","Do negocjacji"
"Opel Combo Tour","22 900","KRAJOWY, f ra Vat, pełny serwis","243 000 km","2014","1 598 cm3","Diesel","Kraków","(Małopolskie)","Faktura VAT"
"BMW Seria 1","23 500","2,0 , 116D , 140 000km","140 000 km","2010","2 000 cm3","Diesel","Siedlce","(Mazowieckie)","Do negocjacji"
"Renault Kadjar","56 900","Niemcy 65tys km Pełne ASO Bieła Perła Full Opcja 4x4","66 000 km","2015","1 600 cm3","Diesel","Gniezno","(Wielkopolskie)","Do negocjacji"
"Toyota Yaris","22 900","1.0 Active","137 449 km","2013","998 cm3","Benzyna","Zielona Góra","(Lubuskie)",""
"Toyota Auris","27 900","1.8i HYBRID 136PS AUTOMAT / Auto Na Gwarancji !! AUTO BIJAK !!","243 000 km","2012","1 798 cm3","Hybryda","Kłodzko","(Dolnośląskie)","Do negocjacji"
"Škoda RAPID 1.0","45 999","FL Liftback 1.0 TSI 95 KM Ambition + AUDIO *GWARANCJA *Salon Polska","13 000 km","2019","999 cm3","Benzyna","Wrocław","(Dolnośląskie)","Do negocjacji, Faktura VAT"
"Fiat 500","23 900","1.2 i benzyna 70KM ! Elektryka ! Klima ! Navi !","102 300 km","2013","1 242 cm3","Benzyna","Katowice","(Śląskie)","Do negocjacji"
"Mercedes-Benz SL","45 000","600SL r129 mercedes v12","84 815 km","1992","6 000 cm3","Benzyna","Toruń","(Kujawsko-pomorskie)",""
"Renault Trafic","19 990","9 os. zadbany","300 000 km","2008","1 995 cm3","Diesel","Czerwonak","(Wielkopolskie)","Do negocjacji, Faktura VAT"
"Renault Clio 1.2","36 900","Limited 1.2 16V 75KM, Krajowy, Fa. Vat, I wł, Gwarancja.","45 500 km","2018","1 149 cm3","Benzyna","Opole","(Opolskie)","Faktura VAT"
"Toyota Verso 1.8","62 000","1.8 VVTi*Automat*Kamera*Alu*Niski przebieg*","24 200 km","2017","1 798 cm3","Benzyna","Lublin","(Lubelskie)",""
"Kia Ceed 1.6","45 999","GT Line Led, Panorama, Kamera Niepowtarzalna prosto z Niemiec","102 000 km","2016","1 591 cm3","Benzyna","Swarzędz","(Wielkopolskie)","Do negocjacji"
"Škoda Fabia 1.9","11 700","1.9 TDI 2008 rok # wersja SPORT # KUBEŁKI # ALU # import Niemcy","239 879 km","2008","1 896 cm3","Diesel","Ostrowiec Świętokrzyski","(Świętokrzyskie)","Do negocjacji"
"Škoda Fabia","9 800","1.4 TDI. Bezwypadkowy. Serwisowany. Klimatyzacja. Opłacony. Zamiana","228 000 km","2007","1 400 cm3","Diesel","Hrubieszów","(Lubelskie)","Do negocjacji"
"Mazda CX-7","34 900","Biała perła*Pełen* serwis*ładna i zadbana*Super stan*Opłacona!","154 000 km","2011","2 200 cm3","Diesel","Zawiercie","(Śląskie)","Do negocjacji"
"Volkswagen Touran","21 000","1.6 Mpi 102 KM Lpg Sekwencja Hak LIFT zadbany GWARANCJA","238 001 km","2008","1 600 cm3","Benzyna+LPG","Brzeziny","(Łódzkie)",""
"Opel Astra","72 900","V,1.4 benz.150KM,ELITE+ Pakiet Kierowcy Plus+Tylne LED, 2XUSB","9 390 km","2018","1 399 cm3","Benzyna","Zabrze","(Śląskie)","Faktura VAT"
"Škoda Fabia","14 500","1.6 105KM 2008r Klima Tempomat Gwarancja","140 002 km","2008","1 600 cm3","Benzyna","Brzeziny","(Łódzkie)","Do negocjacji"
"Citroën C5 1.6","16 400","NAVI VIDEO Możliwa Sprzedaż Mobilna Dostawa Pod Dom RATY GWARANCJA","265 000 km","2010","1 560 cm3","Diesel","Ostrów Wielkopolski","(Wielkopolskie)","Do negocjacji"
"Renault Trafic","127 200","Demonstracyjny 2.0L Grand Pack Clim Energy dCi 170HD Automat!","1 930 km","2019","1 997 cm3","Diesel","Toruń","(Kujawsko-pomorskie)","Faktura VAT"
"Ford Focus","12 500","1.8 125 KM Ładny Pakiet zimowy GWARANCJA HAK 2009r","210 122 km","2009","1 800 cm3","Benzyna","Brzeziny","(Łódzkie)","Do negocjacji"
"Audi A4","21 000","1.8 Turbo 163 KM Sedan Opłacony GWARANCJA Bardzo Ładna","214 212 km","2005","1 800 cm3","Benzyna","Brzeziny","(Łódzkie)",""
"Mini Clubman Cooper","21 500","Na GWARANCJI, 1.6 Cooper","60 000 km","2008","1 598 cm3","Benzyna","Przeźmierowo","(Wielkopolskie)",""
"Opel Astra","59 800","V, 1.4benz.125KM, ENJOY+Pakiet Biznes Plus+Felgi Strukt.R16 2018/2019","6 376 km","2018","1 399 cm3","Benzyna","Zabrze","(Śląskie)","Faktura VAT"
"Audi A4 Avant","7 300","Super Stan","295 000 km","2003","2 496 cm3","Diesel","Lubartów","(Lubelskie)",""
"Mercedes-Benz Klasa E","25 900","Mercedes Benz LIFT !! 2,2 CDI 2007 r. 170 KM STAN IDEALNY","245 000 km","2007","2 149 cm3","Diesel","Raciąż","(Mazowieckie)","Do negocjacji"
"Volkswagen Golf","19 900","2010r Klimatronic Navi Android Alu Serwisowany Opłacony Super Stan!!!","178 562 km","2010","1 598 cm3","Diesel","Szamotuły","(Wielkopolskie)",""
"Ford Mondeo 2.0","44 000","Ford Mondeo 2.0 TDCi 19 cali Okazja!!!","219 000 km","2015","1 997 cm3","Diesel","Kłodzko","(Dolnośląskie)","Do negocjacji"
